order_id,order_datetime,items_count,distance_km,is_express_delivery,vehicle_type,base_speed_kmh,restaurant_city,is_fast_food,prep_time_avg,temperature,precip_mm,wind_speed,traffic_level
98014,2025-03-17 10:49:00,3,2.28,0,car,55.0,SPB,0,23,24.8,2.23,6.5,3.0
98015,2024-03-26 07:47:00,5,7.2,0,car,55.0,Kazan,1,10,25.0,2.94,1.7,2.0
98016,2024-05-03 07:31:00,3,4.4,0,car,55.0,SPB,0,23,23.4,0.9,1.7,3.0
98017,2024-09-02 13:30:00,3,2.47,1,bike,35.5218365044405,Moscow,1,6,-20.5,0.96,15.2,4.0
98018,2025-02-19 02:26:00,2,10.28,0,car,55.0,Moscow,0,29,21.2,0.46,23.6,4.0
98019,2024-03-22 18:59:00,5,10.81,0,car,55.0,Moscow,1,6,29.0,1.82,5.1,4.0
98020,2024-04-14 07:03:00,3,5.64,0,scooter,55.0,Moscow,0,17,33.6,10.69,17.5,
98021,2024-04-03 06:02:00,2,1.36,0,car,55.0,SPB,1,12,39.2,1.7,8.0,3.0
98022,2024-02-23 22:41:00,2,0.87,0,car,55.0,Kazan,0,19,15.6,4.26,2.1,2.0
98023,2025-03-24 14:56:00,2,4.87,0,scooter,48.34342395184287,Moscow,0,30,23.9,3.43,5.8,5.0
98024,2024-08-03 23:42:00,4,7.44,0,bike,38.3374319784028,Moscow,0,19,-7.5,8.31,19.6,3.0
98025,2024-03-12 15:04:00,2,7.85,0,bike,40.58851705937706,Moscow,0,17,30.4,1.5,5.8,4.0
98026,2025-02-05 18:24:00,2,13.33,1,car,55.0,SPB,0,17,12.6,11.5,12.6,3.0
98027,2025-04-17 17:23:00,6,2.35,0,car,51.43065228264467,Moscow,1,5,37.4,5.32,10.8,
98028,2024-07-06 05:57:00,4,5.89,0,bike,36.847051198698445,SPB,1,13,11.2,0.19,18.3,2.0
98029,2024-09-08 03:59:00,6,2.96,0,bike,35.577876365522755,SPB,0,15,-20.1,5.72,7.1,2.0
98030,2024-07-04 23:19:00,6,1.76,0,car,55.0,SPB,0,35,6.5,0.9,5.5,4.0
98031,2024-09-28 00:44:00,2,1.23,0,car,55.0,Moscow,0,32,-23.2,0.12,11.5,3.0
98032,2024-06-09 04:11:00,2,1.64,1,car,55.0,SPB,0,36,14.1,,15.9,3.0
98033,2024-12-05 05:05:00,2,4.8,0,car,55.0,Moscow,1,12,-13.7,5.55,19.4,5.0
98034,2025-06-13 15:03:00,3,5.87,0,car,55.0,Moscow,0,39,10.3,9.93,12.7,5.0
98035,2024-08-07 02:15:00,4,2.09,0,car,55.0,Kazan,0,21,-4.4,1.63,13.7,2.0
98036,2024-10-16 01:02:00,2,2.9,0,car,55.0,SPB,1,8,-18.8,5.91,14.2,4.0
98037,2024-05-19 10:27:00,2,2.85,0,bike,36.24682112531779,SPB,1,11,27.2,7.89,12.0,2.0
98038,2024-05-05 11:17:00,3,7.55,0,car,55.0,Moscow,1,6,32.7,2.55,10.5,3.0
98039,2025-02-13 06:08:00,3,2.53,0,scooter,36.42755350070934,SPB,1,7,13.3,14.19,0.8,
