,restaurant_city,hour,dayofweek,avg_orders
0,Kazan,0,0,1.9666666666666666
1,Kazan,0,1,2.0952380952380953
2,Kazan,0,2,2.123076923076923
3,Kazan,0,3,2.287878787878788
4,Kazan,0,4,2.0952380952380953
5,Kazan,0,5,2.3492063492063493
6,Kazan,0,6,2.34375
7,Kazan,1,0,2.130434782608696
8,Kazan,1,1,2.101449275362319
9,Kazan,1,2,2.09375
10,Kazan,1,3,2.2388059701492535
11,Kazan,1,4,2.3846153846153846
12,Kazan,1,5,2.0303030303030303
13,Kazan,1,6,1.8615384615384616
14,Kazan,2,0,2.1194029850746268
15,Kazan,2,1,2.161764705882353
16,Kazan,2,2,2.242424242424242
17,Kazan,2,3,1.9846153846153847
18,Kazan,2,4,2.125
19,Kazan,2,5,2.015151515151515
20,Kazan,2,6,1.9538461538461538
21,Kazan,3,0,1.9827586206896552
22,Kazan,3,1,2.3833333333333333
23,Kazan,3,2,2.2295081967213113
24,Kazan,3,3,2.19672131147541
25,Kazan,3,4,2.208955223880597
26,Kazan,3,5,1.9661016949152543
27,Kazan,3,6,2.1639344262295084
28,Kazan,4,0,2.1147540983606556
29,Kazan,4,1,2.1384615384615384
30,Kazan,4,2,2.1147540983606556
31,Kazan,4,3,2.044776119402985
32,Kazan,4,4,1.9848484848484849
33,Kazan,4,5,2.3333333333333335
34,Kazan,4,6,2.046153846153846
35,Kazan,5,0,2.0307692307692307
36,Kazan,5,1,2.03125
37,Kazan,5,2,2.046875
38,Kazan,5,3,2.074626865671642
39,Kazan,5,4,2.066666666666667
40,Kazan,5,5,2.0317460317460316
41,Kazan,5,6,2.289855072463768
42,Kazan,6,0,2.0142857142857142
43,Kazan,6,1,2.076923076923077
44,Kazan,6,2,1.9850746268656716
45,Kazan,6,3,2.234375
46,Kazan,6,4,2.2222222222222223
47,Kazan,6,5,2.2205882352941178
48,Kazan,6,6,1.8923076923076922
49,Kazan,7,0,2.03125
50,Kazan,7,1,2.142857142857143
