restaurant_city,hour,dayofweek,traffic_level_mode
Kazan,0,0,2.0
Kazan,0,1,2.0
Kazan,0,2,2.0
Kazan,0,3,2.0
Kazan,0,4,2.0
Kazan,0,5,1.0
Kazan,0,6,1.0
Kazan,1,0,2.0
Kazan,1,1,2.0
Kazan,1,2,2.0
Kazan,1,3,2.0
Kazan,1,4,2.0
Kazan,1,5,1.0
Kazan,1,6,1.0
Kazan,2,0,2.0
Kazan,2,1,2.0
Kazan,2,2,2.0
Kazan,2,3,2.0
Kazan,2,4,2.0
Kazan,2,5,1.0
Kazan,2,6,1.0
Kazan,3,0,2.0
Kazan,3,1,2.0
Kazan,3,2,2.0
Kazan,3,3,2.0
Kazan,3,4,2.0
Kazan,3,5,1.0
Kazan,3,6,1.0
Kazan,4,0,2.0
Kazan,4,1,2.0
Kazan,4,2,2.0
Kazan,4,3,2.0
Kazan,4,4,2.0
Kazan,4,5,1.0
Kazan,4,6,1.0
Kazan,5,0,2.0
Kazan,5,1,2.0
Kazan,5,2,2.0
Kazan,5,3,2.0
Kazan,5,4,2.0
Kazan,5,5,1.0
Kazan,5,6,1.0
Kazan,6,0,2.0
Kazan,6,1,2.0
Kazan,6,2,2.0
Kazan,6,3,2.0
Kazan,6,4,2.0
Kazan,6,5,1.0
Kazan,6,6,1.0
Kazan,7,0,2.0
Kazan,7,1,2.0
Kazan,7,2,2.0
Kazan,7,3,2.0
Kazan,7,4,2.0
Kazan,7,5,1.0
Kazan,7,6,1.0
Kazan,8,0,2.0
Kazan,8,1,2.0
Kazan,8,2,2.0
Kazan,8,3,2.0
Kazan,8,4,2.0
Kazan,8,5,1.0
Kazan,8,6,1.0
Kazan,9,0,2.0
Kazan,9,1,2.0
Kazan,9,2,2.0
Kazan,9,3,2.0
Kazan,9,4,2.0
Kazan,9,5,1.0
Kazan,9,6,1.0
Kazan,10,0,2.0
Kazan,10,1,2.0
Kazan,10,2,2.0
Kazan,10,3,2.0
Kazan,10,4,2.0
Kazan,10,5,1.0
Kazan,10,6,1.0
Kazan,11,0,2.0
Kazan,11,1,2.0
Kazan,11,2,2.0
Kazan,11,3,2.0
Kazan,11,4,2.0
Kazan,11,5,1.0
Kazan,11,6,1.0
Kazan,12,0,2.0
Kazan,12,1,2.0
Kazan,12,2,2.0
Kazan,12,3,2.0
Kazan,12,4,2.0
Kazan,12,5,1.0
Kazan,12,6,1.0
Kazan,13,0,2.0
Kazan,13,1,2.0
Kazan,13,2,2.0
Kazan,13,3,2.0
Kazan,13,4,2.0
Kazan,13,5,1.0
Kazan,13,6,1.0
Kazan,14,0,2.0
Kazan,14,1,2.0
Kazan,14,2,2.0
Kazan,14,3,2.0
Kazan,14,4,2.0
Kazan,14,5,1.0
Kazan,14,6,1.0
Kazan,15,0,2.0
Kazan,15,1,2.0
Kazan,15,2,2.0
Kazan,15,3,2.0
Kazan,15,4,2.0
Kazan,15,5,1.0
Kazan,15,6,1.0
Kazan,16,0,2.0
Kazan,16,1,2.0
Kazan,16,2,2.0
Kazan,16,3,2.0
Kazan,16,4,2.0
Kazan,16,5,1.0
Kazan,16,6,1.0
Kazan,17,0,2.0
Kazan,17,1,2.0
Kazan,17,2,2.0
Kazan,17,3,2.0
Kazan,17,4,2.0
Kazan,17,5,1.0
Kazan,17,6,1.0
Kazan,18,0,2.0
Kazan,18,1,2.0
Kazan,18,2,2.0
Kazan,18,3,2.0
Kazan,18,4,2.0
Kazan,18,5,1.0
Kazan,18,6,1.0
Kazan,19,0,2.0
Kazan,19,1,2.0
Kazan,19,2,2.0
Kazan,19,3,2.0
Kazan,19,4,2.0
Kazan,19,5,1.0
Kazan,19,6,1.0
Kazan,20,0,2.0
Kazan,20,1,2.0
Kazan,20,2,2.0
Kazan,20,3,2.0
Kazan,20,4,2.0
Kazan,20,5,1.0
Kazan,20,6,1.0
Kazan,21,0,2.0
Kazan,21,1,2.0
Kazan,21,2,2.0
Kazan,21,3,2.0
Kazan,21,4,2.0
Kazan,21,5,1.0
Kazan,21,6,1.0
Kazan,22,0,2.0
Kazan,22,1,2.0
Kazan,22,2,2.0
Kazan,22,3,2.0
Kazan,22,4,2.0
Kazan,22,5,1.0
Kazan,22,6,1.0
Kazan,23,0,2.0
Kazan,23,1,2.0
Kazan,23,2,2.0
Kazan,23,3,2.0
Kazan,23,4,2.0
Kazan,23,5,1.0
Kazan,23,6,1.0
Moscow,0,0,4.0
Moscow,0,1,4.0
Moscow,0,2,4.0
Moscow,0,3,4.0
Moscow,0,4,4.0
Moscow,0,5,3.0
Moscow,0,6,3.0
Moscow,1,0,4.0
Moscow,1,1,4.0
Moscow,1,2,4.0
Moscow,1,3,4.0
Moscow,1,4,4.0
Moscow,1,5,3.0
Moscow,1,6,3.0
Moscow,2,0,4.0
Moscow,2,1,4.0
Moscow,2,2,4.0
Moscow,2,3,4.0
Moscow,2,4,4.0
Moscow,2,5,3.0
Moscow,2,6,3.0
Moscow,3,0,4.0
Moscow,3,1,4.0
Moscow,3,2,4.0
Moscow,3,3,4.0
Moscow,3,4,4.0
Moscow,3,5,3.0
Moscow,3,6,3.0
Moscow,4,0,4.0
Moscow,4,1,4.0
Moscow,4,2,4.0
Moscow,4,3,4.0
Moscow,4,4,4.0
Moscow,4,5,3.0
Moscow,4,6,3.0
Moscow,5,0,4.0
Moscow,5,1,4.0
Moscow,5,2,4.0
Moscow,5,3,4.0
Moscow,5,4,4.0
Moscow,5,5,3.0
Moscow,5,6,3.0
Moscow,6,0,4.0
Moscow,6,1,4.0
Moscow,6,2,4.0
Moscow,6,3,4.0
